"id,Sleep Duration,Profession,Work Pressure,Academic Pressure,Study Satisfaction,Job Satisfaction,Dietary Habits"
"232,5-6 hours,Student,0.0,2.0,3.0,0.0,Unhealthy"
"239,Less than 5 hours,Student,0.0,1.0,1.0,0.0,Healthy"
"240,7-8 hours,Student,0.0,1.0,3.0,0.0,Healthy"
"242,More than 8 hours,Student,0.0,1.0,3.0,0.0,Healthy"
"253,7-8 hours,Student,0.0,1.0,3.0,0.0,Moderate"
"255,5-6 hours,Student,0.0,5.0,2.0,0.0,Moderate"
"263,7-8 hours,Student,0.0,5.0,3.0,0.0,Unhealthy"
"270,7-8 hours,Student,0.0,1.0,2.0,0.0,Unhealthy"
"273,7-8 hours,Student,0.0,3.0,4.0,0.0,Unhealthy"
"274,7-8 hours,Student,0.0,3.0,2.0,0.0,Moderate"
"277,5-6 hours,Student,0.0,2.0,4.0,0.0,Unhealthy"
"280,5-6 hours,Student,0.0,1.0,3.0,0.0,Healthy"
"285,Less than 5 hours,Student,0.0,4.0,1.0,0.0,Unhealthy"
"294,More than 8 hours,Student,0.0,1.0,4.0,0.0,Unhealthy"
"301,7-8 hours,Student,0.0,1.0,1.0,0.0,Unhealthy"
"303,Less than 5 hours,Student,0.0,2.0,2.0,0.0,Healthy"
"305,Less than 5 hours,Student,0.0,1.0,3.0,0.0,Healthy"
"310,Less than 5 hours,Student,0.0,3.0,3.0,0.0,Unhealthy"
"312,More than 8 hours,Student,0.0,5.0,5.0,0.0,Healthy"
"315,Less than 5 hours,Student,0.0,3.0,3.0,0.0,Moderate"
"316,7-8 hours,Student,0.0,5.0,1.0,0.0,Healthy"
"324,5-6 hours,Student,0.0,3.0,5.0,0.0,Unhealthy"
"328,7-8 hours,Student,0.0,4.0,1.0,0.0,Unhealthy"
"335,5-6 hours,Student,0.0,2.0,3.0,0.0,Unhealthy"
"336,More than 8 hours,Student,0.0,1.0,1.0,0.0,Healthy"
"337,5-6 hours,Student,0.0,3.0,2.0,0.0,Moderate"
"340,7-8 hours,Student,0.0,5.0,1.0,0.0,Moderate"
"343,5-6 hours,Student,0.0,5.0,1.0,0.0,Healthy"
"347,Less than 5 hours,Student,0.0,3.0,1.0,0.0,Healthy"
"348,5-6 hours,Student,0.0,5.0,1.0,0.0,Unhealthy"
"351,5-6 hours,Student,0.0,4.0,3.0,0.0,Moderate"
"367,7-8 hours,Student,0.0,3.0,4.0,0.0,Moderate"
"370,More than 8 hours,Student,0.0,1.0,5.0,0.0,Unhealthy"
"381,Less than 5 hours,Student,0.0,5.0,4.0,0.0,Unhealthy"
"385,Less than 5 hours,Student,0.0,2.0,5.0,0.0,Healthy"
"392,7-8 hours,Student,0.0,1.0,3.0,0.0,Moderate"
"398,7-8 hours,Student,0.0,2.0,4.0,0.0,Healthy"
"407,More than 8 hours,Student,0.0,3.0,3.0,0.0,Healthy"
"408,5-6 hours,Student,0.0,1.0,4.0,0.0,Healthy"
"414,Less than 5 hours,Student,0.0,5.0,3.0,0.0,Moderate"
"420,7-8 hours,Student,0.0,3.0,5.0,0.0,Moderate"
"421,7-8 hours,Student,0.0,3.0,4.0,0.0,Moderate"
"423,Less than 5 hours,Student,0.0,1.0,4.0,0.0,Unhealthy"
"425,7-8 hours,Student,0.0,3.0,5.0,0.0,Healthy"
"429,5-6 hours,Student,0.0,1.0,4.0,0.0,Unhealthy"
"441,7-8 hours,Student,0.0,2.0,1.0,0.0,Unhealthy"
"447,7-8 hours,Student,0.0,5.0,1.0,0.0,Unhealthy"
"454,Less than 5 hours,Student,0.0,5.0,2.0,0.0,Unhealthy"
"455,5-6 hours,Student,0.0,5.0,2.0,0.0,Healthy"
"457,More than 8 hours,Student,0.0,2.0,1.0,0.0,Moderate"
"464,More than 8 hours,Student,0.0,2.0,3.0,0.0,Unhealthy"
"467,More than 8 hours,Student,0.0,1.0,2.0,0.0,Moderate"
"475,5-6 hours,Student,0.0,2.0,1.0,0.0,Unhealthy"
"477,More than 8 hours,Student,0.0,4.0,4.0,0.0,Unhealthy"
"484,Less than 5 hours,Student,0.0,1.0,5.0,0.0,Moderate"
"487,5-6 hours,Student,0.0,1.0,4.0,0.0,Moderate"
"491,More than 8 hours,Student,0.0,3.0,1.0,0.0,Moderate"
"494,Less than 5 hours,Student,0.0,3.0,3.0,0.0,Healthy"
"503,More than 8 hours,Student,0.0,2.0,5.0,0.0,Unhealthy"
"508,5-6 hours,Student,0.0,2.0,4.0,0.0,Healthy"
"509,7-8 hours,Student,0.0,1.0,2.0,0.0,Unhealthy"
"510,More than 8 hours,Student,0.0,3.0,1.0,0.0,Healthy"
"522,More than 8 hours,Student,0.0,2.0,4.0,0.0,Healthy"
"523,5-6 hours,Student,0.0,4.0,1.0,0.0,Healthy"
"525,7-8 hours,Student,0.0,3.0,3.0,0.0,Unhealthy"
"529,5-6 hours,Student,0.0,4.0,4.0,0.0,Moderate"
"530,More than 8 hours,Student,0.0,3.0,2.0,0.0,Unhealthy"
"534,Less than 5 hours,Student,0.0,3.0,1.0,0.0,Healthy"
"535,More than 8 hours,Student,0.0,5.0,1.0,0.0,Moderate"
"538,Less than 5 hours,Student,0.0,4.0,2.0,0.0,Unhealthy"
"539,5-6 hours,Student,0.0,5.0,1.0,0.0,Moderate"
"541,Less than 5 hours,Student,0.0,2.0,5.0,0.0,Moderate"
"543,Less than 5 hours,Student,0.0,5.0,1.0,0.0,Unhealthy"
"556,5-6 hours,Student,0.0,1.0,3.0,0.0,Unhealthy"
"580,5-6 hours,Student,0.0,1.0,3.0,0.0,Healthy"
"587,Less than 5 hours,Student,0.0,2.0,5.0,0.0,Unhealthy"
"589,More than 8 hours,Student,0.0,4.0,2.0,0.0,Healthy"
"592,5-6 hours,Student,0.0,2.0,1.0,0.0,Unhealthy"
"594,Less than 5 hours,Student,0.0,2.0,4.0,0.0,Moderate"
"595,Less than 5 hours,Student,0.0,5.0,5.0,0.0,Unhealthy"
"598,Less than 5 hours,Student,0.0,5.0,4.0,0.0,Moderate"
"608,Less than 5 hours,Student,0.0,3.0,4.0,0.0,Unhealthy"
"609,5-6 hours,Civil Engineer,0.0,5.0,1.0,0.0,Healthy"
"611,Less than 5 hours,Student,0.0,2.0,1.0,0.0,Unhealthy"
"617,7-8 hours,Student,0.0,3.0,2.0,0.0,Moderate"
"620,Less than 5 hours,Student,0.0,3.0,1.0,0.0,Healthy"
"623,Less than 5 hours,Student,0.0,5.0,1.0,0.0,Unhealthy"
"626,Less than 5 hours,Student,0.0,3.0,4.0,0.0,Unhealthy"
"632,More than 8 hours,Student,0.0,4.0,3.0,0.0,Unhealthy"
"658,Less than 5 hours,Student,0.0,5.0,2.0,0.0,Moderate"
"660,Less than 5 hours,Student,0.0,5.0,1.0,0.0,Unhealthy"
"662,More than 8 hours,Student,0.0,5.0,4.0,0.0,Unhealthy"
"668,More than 8 hours,Student,0.0,5.0,4.0,0.0,Unhealthy"
"671,7-8 hours,Student,0.0,3.0,3.0,0.0,Unhealthy"
"673,More than 8 hours,Student,0.0,1.0,1.0,0.0,Unhealthy"
"676,5-6 hours,Student,0.0,3.0,1.0,0.0,Moderate"
"681,7-8 hours,Student,0.0,3.0,3.0,0.0,Healthy"
"683,Less than 5 hours,Student,0.0,3.0,2.0,0.0,Moderate"
"687,7-8 hours,Student,0.0,1.0,4.0,0.0,Healthy"
"688,Less than 5 hours,Student,0.0,2.0,3.0,0.0,Unhealthy"
"695,Less than 5 hours,Student,0.0,5.0,5.0,0.0,Unhealthy"
"696,More than 8 hours,Student,0.0,3.0,4.0,0.0,Healthy"
"697,5-6 hours,Student,0.0,2.0,3.0,0.0,Unhealthy"
"701,More than 8 hours,Student,0.0,3.0,4.0,0.0,Unhealthy"
"707,More than 8 hours,Student,0.0,5.0,2.0,0.0,Unhealthy"
"708,5-6 hours,Student,0.0,2.0,2.0,0.0,Unhealthy"
"709,Less than 5 hours,Student,0.0,2.0,4.0,0.0,Healthy"
"710,More than 8 hours,Student,0.0,3.0,1.0,0.0,Moderate"
"712,Less than 5 hours,Student,0.0,3.0,5.0,0.0,Unhealthy"
"713,More than 8 hours,Student,0.0,1.0,5.0,0.0,Moderate"
"714,7-8 hours,Student,0.0,3.0,5.0,0.0,Moderate"
"716,Less than 5 hours,Student,0.0,1.0,4.0,0.0,Moderate"
"724,5-6 hours,Student,0.0,4.0,3.0,0.0,Healthy"
"728,Less than 5 hours,Student,0.0,1.0,4.0,0.0,Moderate"
"733,7-8 hours,Student,0.0,1.0,2.0,0.0,Moderate"
"735,5-6 hours,Student,0.0,4.0,2.0,0.0,Unhealthy"
"737,Less than 5 hours,Student,0.0,3.0,2.0,0.0,Unhealthy"
"744,Less than 5 hours,Student,0.0,5.0,3.0,0.0,Moderate"
"746,Less than 5 hours,Student,0.0,4.0,2.0,0.0,Moderate"
"749,5-6 hours,Student,0.0,2.0,5.0,0.0,Healthy"
"750,Less than 5 hours,Student,0.0,4.0,1.0,0.0,Unhealthy"
"754,Less than 5 hours,Student,0.0,3.0,3.0,0.0,Moderate"
"758,More than 8 hours,Student,0.0,1.0,2.0,0.0,Moderate"
"759,5-6 hours,Student,0.0,3.0,2.0,0.0,Unhealthy"
"763,5-6 hours,Student,0.0,5.0,2.0,0.0,Unhealthy"
"764,More than 8 hours,Student,0.0,5.0,4.0,0.0,Unhealthy"
"770,5-6 hours,Student,0.0,4.0,3.0,0.0,Moderate"
"774,Less than 5 hours,Student,0.0,4.0,5.0,0.0,Healthy"
"777,7-8 hours,Student,0.0,1.0,5.0,0.0,Unhealthy"
"779,5-6 hours,Student,0.0,5.0,1.0,0.0,Healthy"
"781,7-8 hours,Student,0.0,1.0,1.0,0.0,Moderate"
"785,More than 8 hours,Student,0.0,5.0,4.0,0.0,Healthy"
"793,Less than 5 hours,Student,0.0,3.0,4.0,0.0,Healthy"
"796,7-8 hours,Student,0.0,5.0,3.0,0.0,Moderate"
"804,7-8 hours,Student,0.0,5.0,5.0,0.0,Healthy"
"811,5-6 hours,Student,0.0,2.0,4.0,0.0,Healthy"
"813,7-8 hours,Student,0.0,3.0,2.0,0.0,Unhealthy"
"814,5-6 hours,Student,0.0,1.0,3.0,0.0,Unhealthy"
"821,7-8 hours,Student,0.0,5.0,1.0,0.0,Healthy"
"823,7-8 hours,Student,0.0,3.0,5.0,0.0,Moderate"
"825,7-8 hours,Student,0.0,2.0,4.0,0.0,Moderate"
"831,7-8 hours,Student,0.0,1.0,4.0,0.0,Healthy"
"832,More than 8 hours,Student,0.0,2.0,3.0,0.0,Unhealthy"
"836,Less than 5 hours,Student,0.0,3.0,5.0,0.0,Moderate"
"839,More than 8 hours,Student,0.0,4.0,2.0,0.0,Moderate"
"843,5-6 hours,Student,0.0,5.0,2.0,0.0,Moderate"
"847,Less than 5 hours,Student,0.0,4.0,1.0,0.0,Moderate"
"852,7-8 hours,Student,0.0,3.0,2.0,0.0,Moderate"
"854,7-8 hours,Student,0.0,3.0,4.0,0.0,Moderate"
"861,7-8 hours,Student,0.0,1.0,2.0,0.0,Unhealthy"
"862,More than 8 hours,Student,0.0,5.0,4.0,0.0,Moderate"
"863,More than 8 hours,Student,0.0,2.0,1.0,0.0,Unhealthy"
"875,Less than 5 hours,Student,0.0,4.0,5.0,0.0,Moderate"
"877,7-8 hours,Student,0.0,4.0,4.0,0.0,Moderate"
"882,Less than 5 hours,Student,0.0,1.0,5.0,0.0,Healthy"
"897,More than 8 hours,Student,0.0,4.0,4.0,0.0,Healthy"
"907,7-8 hours,Student,0.0,1.0,5.0,0.0,Healthy"
"910,Less than 5 hours,Student,0.0,1.0,3.0,0.0,Moderate"
"912,5-6 hours,Student,0.0,5.0,1.0,0.0,Moderate"
"918,7-8 hours,Student,0.0,3.0,5.0,0.0,Unhealthy"
"923,7-8 hours,Student,0.0,4.0,5.0,0.0,Unhealthy"
"926,5-6 hours,Student,0.0,3.0,5.0,0.0,Moderate"
"935,More than 8 hours,Student,0.0,1.0,3.0,0.0,Healthy"
"941,7-8 hours,Student,0.0,4.0,1.0,0.0,Moderate"
"947,7-8 hours,Student,0.0,2.0,3.0,0.0,Healthy"
"949,More than 8 hours,Student,0.0,5.0,2.0,0.0,Healthy"
"953,More than 8 hours,Student,0.0,2.0,1.0,0.0,Unhealthy"
"955,7-8 hours,Student,0.0,5.0,2.0,0.0,Healthy"
"956,Less than 5 hours,Student,0.0,4.0,2.0,0.0,Healthy"
"965,Less than 5 hours,Student,0.0,1.0,3.0,0.0,Moderate"
"978,7-8 hours,Student,0.0,5.0,4.0,0.0,Moderate"
"984,7-8 hours,Student,0.0,1.0,5.0,0.0,Unhealthy"
"991,5-6 hours,Student,0.0,5.0,1.0,0.0,Unhealthy"
"995,More than 8 hours,Student,0.0,1.0,1.0,0.0,Moderate"
"997,Less than 5 hours,Student,0.0,1.0,1.0,0.0,Unhealthy"
"1003,5-6 hours,Student,0.0,2.0,2.0,0.0,Unhealthy"
"1006,5-6 hours,Student,0.0,5.0,1.0,0.0,Unhealthy"
"1012,Less than 5 hours,Student,0.0,4.0,2.0,0.0,Unhealthy"
"1015,Less than 5 hours,Student,0.0,3.0,1.0,0.0,Unhealthy"
"1022,7-8 hours,Student,0.0,3.0,5.0,0.0,Moderate"
"1029,7-8 hours,Student,0.0,4.0,2.0,0.0,Moderate"
"1032,Less than 5 hours,Student,0.0,3.0,1.0,0.0,Healthy"
"1047,7-8 hours,Student,0.0,5.0,1.0,0.0,Unhealthy"
"1049,More than 8 hours,Student,0.0,3.0,2.0,0.0,Unhealthy"
"1054,7-8 hours,Student,0.0,1.0,3.0,0.0,Unhealthy"
"1055,More than 8 hours,Student,0.0,1.0,5.0,0.0,Moderate"
"1065,7-8 hours,Student,0.0,4.0,3.0,0.0,Unhealthy"
"1069,More than 8 hours,Student,0.0,1.0,3.0,0.0,Moderate"
"1075,7-8 hours,Student,0.0,5.0,5.0,0.0,Healthy"
"1079,5-6 hours,Student,0.0,2.0,3.0,0.0,Unhealthy"
"1084,More than 8 hours,Student,0.0,3.0,4.0,0.0,Healthy"
"1087,7-8 hours,Student,0.0,3.0,2.0,0.0,Unhealthy"
"1091,7-8 hours,Student,0.0,2.0,5.0,0.0,Moderate"
"1093,Less than 5 hours,Student,0.0,4.0,1.0,0.0,Moderate"
"1094,7-8 hours,Student,0.0,3.0,3.0,0.0,Moderate"
"1105,7-8 hours,Student,0.0,5.0,2.0,0.0,Healthy"
"1108,Less than 5 hours,Student,0.0,5.0,3.0,0.0,Moderate"
"1117,Less than 5 hours,Student,0.0,3.0,4.0,0.0,Healthy"
"1126,Less than 5 hours,Student,0.0,2.0,3.0,0.0,Healthy"
"1130,Less than 5 hours,Student,0.0,1.0,3.0,0.0,Moderate"
"1131,Less than 5 hours,Student,0.0,1.0,5.0,0.0,Moderate"
"1134,7-8 hours,Student,0.0,5.0,1.0,0.0,Moderate"
"1148,5-6 hours,Student,0.0,5.0,1.0,0.0,Healthy"
"1152,More than 8 hours,Student,0.0,3.0,1.0,0.0,Unhealthy"
"1154,Less than 5 hours,Student,0.0,1.0,3.0,0.0,Healthy"
"1156,7-8 hours,Student,0.0,5.0,5.0,0.0,Unhealthy"
"1158,Less than 5 hours,Student,0.0,5.0,5.0,0.0,Healthy"
"1165,7-8 hours,Student,0.0,2.0,5.0,0.0,Moderate"
"1168,7-8 hours,Student,0.0,1.0,4.0,0.0,Moderate"
"1170,5-6 hours,Student,0.0,5.0,3.0,0.0,Unhealthy"
"1177,More than 8 hours,Student,0.0,3.0,4.0,0.0,Healthy"
"1179,Less than 5 hours,Student,0.0,5.0,3.0,0.0,Moderate"
"1186,Less than 5 hours,Student,0.0,5.0,2.0,0.0,Moderate"
"1187,Less than 5 hours,Student,0.0,5.0,1.0,0.0,Unhealthy"
"1197,5-6 hours,Student,0.0,2.0,4.0,0.0,Unhealthy"
"1201,Less than 5 hours,Student,0.0,1.0,2.0,0.0,Moderate"
"1213,Less than 5 hours,Student,0.0,3.0,2.0,0.0,Unhealthy"
"1215,7-8 hours,Student,0.0,2.0,3.0,0.0,Moderate"
"1221,Less than 5 hours,Student,0.0,2.0,4.0,0.0,Unhealthy"
"1222,5-6 hours,Student,0.0,2.0,1.0,0.0,Unhealthy"
"1225,5-6 hours,Student,0.0,4.0,2.0,0.0,Unhealthy"
"1232,5-6 hours,Student,0.0,2.0,2.0,0.0,Moderate"
"1240,5-6 hours,Student,0.0,3.0,1.0,0.0,Healthy"
"1241,7-8 hours,Student,0.0,5.0,4.0,0.0,Healthy"
"1244,5-6 hours,Student,0.0,1.0,3.0,0.0,Moderate"
"1252,More than 8 hours,Student,0.0,2.0,4.0,0.0,Moderate"
"1254,Less than 5 hours,Student,0.0,4.0,2.0,0.0,Unhealthy"
"1255,Less than 5 hours,Student,0.0,4.0,3.0,0.0,Healthy"
"1263,Less than 5 hours,Student,0.0,3.0,3.0,0.0,Moderate"
"1275,Less than 5 hours,Student,0.0,1.0,1.0,0.0,Moderate"
"1278,More than 8 hours,Student,0.0,3.0,3.0,0.0,Healthy"
"1286,More than 8 hours,Student,0.0,5.0,5.0,0.0,Healthy"
"1296,More than 8 hours,Student,0.0,4.0,3.0,0.0,Moderate"
"1301,7-8 hours,Student,0.0,3.0,1.0,0.0,Moderate"
"1305,Less than 5 hours,Student,0.0,1.0,4.0,0.0,Moderate"
"1307,5-6 hours,Student,0.0,3.0,2.0,0.0,Moderate"
"1319,More than 8 hours,Student,0.0,5.0,1.0,0.0,Unhealthy"
"1324,7-8 hours,Student,0.0,2.0,4.0,0.0,Healthy"
"1328,Less than 5 hours,Student,0.0,3.0,1.0,0.0,Healthy"
"1329,5-6 hours,Student,0.0,3.0,4.0,0.0,Unhealthy"
"1334,Less than 5 hours,Student,0.0,3.0,5.0,0.0,Healthy"
"1336,5-6 hours,Student,0.0,2.0,3.0,0.0,Unhealthy"
"1347,Less than 5 hours,Student,0.0,3.0,3.0,0.0,Unhealthy"
"1348,5-6 hours,Student,0.0,5.0,4.0,0.0,Healthy"
"1355,5-6 hours,Student,0.0,4.0,4.0,0.0,Unhealthy"
"1360,5-6 hours,Student,0.0,2.0,2.0,0.0,Moderate"
"1361,7-8 hours,Student,0.0,3.0,4.0,0.0,Unhealthy"
"1369,5-6 hours,Student,0.0,4.0,5.0,0.0,Moderate"
"1370,Less than 5 hours,Student,0.0,4.0,4.0,0.0,Moderate"
"1373,More than 8 hours,Student,0.0,4.0,5.0,0.0,Healthy"
"1379,7-8 hours,Student,0.0,5.0,2.0,0.0,Unhealthy"
"1381,7-8 hours,Student,0.0,3.0,5.0,0.0,Moderate"
"1384,More than 8 hours,Student,0.0,2.0,2.0,0.0,Healthy"
"1391,5-6 hours,Student,0.0,4.0,1.0,0.0,Healthy"
"1393,More than 8 hours,Student,0.0,4.0,1.0,0.0,Unhealthy"
"1396,5-6 hours,Student,0.0,4.0,4.0,0.0,Moderate"
"1399,7-8 hours,Student,0.0,2.0,4.0,0.0,Healthy"
"1403,Less than 5 hours,Student,0.0,2.0,4.0,0.0,Healthy"
"1411,7-8 hours,Student,0.0,5.0,4.0,0.0,Moderate"
"1417,More than 8 hours,Student,0.0,2.0,3.0,0.0,Healthy"
"1425,More than 8 hours,Student,0.0,1.0,5.0,0.0,Moderate"
"1428,7-8 hours,Student,0.0,3.0,3.0,3.0,Moderate"
"1431,Less than 5 hours,Student,0.0,2.0,5.0,0.0,Moderate"
"1432,Less than 5 hours,Student,0.0,5.0,5.0,0.0,Moderate"
"1439,Less than 5 hours,Student,0.0,2.0,5.0,0.0,Unhealthy"
"1444,5-6 hours,Student,0.0,5.0,5.0,0.0,Moderate"
"1450,Less than 5 hours,Student,0.0,1.0,3.0,0.0,Unhealthy"
"1453,More than 8 hours,Student,0.0,4.0,2.0,0.0,Healthy"
"1457,More than 8 hours,Student,0.0,5.0,1.0,0.0,Healthy"
"1464,Less than 5 hours,Student,0.0,4.0,3.0,0.0,Unhealthy"
"1467,Less than 5 hours,Student,0.0,4.0,2.0,0.0,Moderate"
"1472,Less than 5 hours,Student,0.0,2.0,1.0,0.0,Moderate"
"1474,More than 8 hours,Student,0.0,3.0,4.0,0.0,Moderate"
"1475,7-8 hours,Student,0.0,3.0,3.0,0.0,Moderate"
"1484,Less than 5 hours,Student,0.0,5.0,3.0,0.0,Moderate"
"1488,7-8 hours,Student,0.0,3.0,3.0,0.0,Moderate"
"1493,7-8 hours,Student,0.0,5.0,2.0,0.0,Moderate"
"1494,7-8 hours,Student,0.0,5.0,3.0,0.0,Moderate"
"1498,7-8 hours,Student,0.0,3.0,2.0,0.0,Moderate"
"1499,Less than 5 hours,Student,0.0,5.0,4.0,0.0,Healthy"
"1501,More than 8 hours,Student,0.0,3.0,2.0,0.0,Healthy"
"1512,5-6 hours,Student,0.0,2.0,3.0,0.0,Moderate"
"1513,7-8 hours,Student,0.0,1.0,3.0,0.0,Moderate"
"1515,5-6 hours,Student,0.0,5.0,2.0,0.0,Moderate"
"1526,Less than 5 hours,Student,0.0,1.0,4.0,0.0,Unhealthy"
"1528,More than 8 hours,Student,0.0,1.0,4.0,0.0,Unhealthy"
"1529,More than 8 hours,Student,0.0,4.0,4.0,0.0,Moderate"
"1535,Less than 5 hours,Student,0.0,5.0,4.0,0.0,Moderate"
"1536,7-8 hours,Student,0.0,4.0,5.0,0.0,Unhealthy"
"1545,7-8 hours,Student,0.0,4.0,3.0,0.0,Healthy"
"1565,7-8 hours,Student,0.0,4.0,3.0,0.0,Unhealthy"
"1580,7-8 hours,Student,0.0,5.0,2.0,0.0,Unhealthy"
"1582,Less than 5 hours,Student,0.0,1.0,4.0,0.0,Unhealthy"
"1586,5-6 hours,Student,0.0,4.0,3.0,0.0,Moderate"
"1589,More than 8 hours,Student,0.0,3.0,5.0,0.0,Healthy"
"1591,5-6 hours,Student,0.0,2.0,4.0,0.0,Healthy"
"1593,Less than 5 hours,Student,0.0,3.0,1.0,0.0,Healthy"
"1600,5-6 hours,Student,0.0,2.0,3.0,0.0,Healthy"
"1605,7-8 hours,Student,0.0,3.0,1.0,0.0,Healthy"
"1609,Less than 5 hours,Student,0.0,3.0,2.0,0.0,Unhealthy"
"1616,5-6 hours,Student,0.0,4.0,3.0,0.0,Healthy"
"1618,More than 8 hours,Student,0.0,5.0,1.0,0.0,Unhealthy"
"1623,7-8 hours,Student,0.0,3.0,2.0,0.0,Healthy"
"1629,Less than 5 hours,Student,0.0,5.0,2.0,0.0,Healthy"
"1632,Less than 5 hours,Student,0.0,1.0,5.0,0.0,Unhealthy"
"1643,5-6 hours,Student,0.0,4.0,1.0,0.0,Moderate"
"1647,7-8 hours,Student,0.0,5.0,4.0,0.0,Moderate"
"1655,More than 8 hours,Student,0.0,3.0,1.0,0.0,Moderate"
"1657,5-6 hours,Student,0.0,5.0,1.0,0.0,Moderate"
"1659,More than 8 hours,Student,0.0,4.0,2.0,0.0,Healthy"
"1662,5-6 hours,Student,0.0,4.0,4.0,0.0,Unhealthy"
"1669,7-8 hours,Student,0.0,5.0,4.0,0.0,Unhealthy"
"1675,7-8 hours,Student,0.0,5.0,4.0,0.0,Moderate"
"1677,More than 8 hours,Student,0.0,5.0,5.0,0.0,Unhealthy"
"1682,7-8 hours,Student,0.0,4.0,4.0,0.0,Moderate"
"1683,Less than 5 hours,Student,0.0,5.0,4.0,0.0,Healthy"
"1686,5-6 hours,Student,0.0,3.0,4.0,0.0,Unhealthy"
"1701,5-6 hours,Student,0.0,4.0,1.0,0.0,Moderate"
"1705,More than 8 hours,Student,0.0,4.0,5.0,0.0,Moderate"
"1709,5-6 hours,Student,0.0,3.0,2.0,0.0,Healthy"
"1746,5-6 hours,Student,0.0,1.0,3.0,0.0,Moderate"
"1747,Less than 5 hours,Student,0.0,1.0,4.0,0.0,Moderate"
"1750,7-8 hours,Student,0.0,3.0,3.0,0.0,Unhealthy"
"1756,5-6 hours,Student,0.0,1.0,4.0,0.0,Healthy"
"1760,Less than 5 hours,Student,0.0,5.0,3.0,0.0,Unhealthy"
"1762,7-8 hours,Student,0.0,4.0,1.0,0.0,Unhealthy"
"1769,Less than 5 hours,Student,0.0,1.0,2.0,0.0,Moderate"
"1770,Less than 5 hours,Student,0.0,3.0,2.0,0.0,Moderate"
"1782,More than 8 hours,Student,0.0,4.0,5.0,0.0,Unhealthy"
"1795,5-6 hours,Student,0.0,5.0,5.0,0.0,Unhealthy"
"1801,5-6 hours,Student,0.0,2.0,3.0,0.0,Healthy"
"1802,7-8 hours,Student,0.0,3.0,5.0,0.0,Unhealthy"
"1803,Less than 5 hours,Student,0.0,2.0,5.0,0.0,Moderate"
"1809,5-6 hours,Student,0.0,3.0,3.0,0.0,Unhealthy"
"1812,5-6 hours,Student,0.0,2.0,4.0,0.0,Unhealthy"
"1813,5-6 hours,Student,0.0,2.0,3.0,0.0,Healthy"
"1822,Less than 5 hours,Student,0.0,1.0,3.0,0.0,Unhealthy"
"1835,5-6 hours,Student,0.0,1.0,3.0,0.0,Healthy"
"1843,5-6 hours,Student,0.0,4.0,3.0,0.0,Moderate"
"1848,7-8 hours,Student,0.0,5.0,3.0,0.0,Unhealthy"
"1850,More than 8 hours,Student,0.0,1.0,1.0,0.0,Moderate"
"1856,More than 8 hours,Student,0.0,1.0,4.0,0.0,Healthy"
"1857,5-6 hours,Student,0.0,1.0,4.0,0.0,Healthy"
"1864,7-8 hours,Student,0.0,5.0,2.0,0.0,Healthy"
